DateTime, Status, PartCt, PartCon, BL, BLTH, STD, P, TofP, POPS_Flow, PumpFB, LDTemp, LaserFB, LD_Mon, Temp, BatV, Laser_Current, Flow_Set,PumpLife_hrs, BL_Start, TH_Mult, nbins, logmin, logmax, Skip_Save, MinPeakPts,MaxPeakPts, RawPts,b0,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15,b16,b17,b18,b19,b20,b21,b22,b23,b24,b25,b26,b27,b28,b29,b30,b31,b32,b33,b34,b35,b36,b37,b38,b39,b40,b41,b42,b43,b44,b45,b46,b47,b48,b49,b50,b51,b52,b53,b54,b55,b56,b57,b58,b59,b60,b61,b62,b63,b64,b65,b66,b67,b68,b69,b70,b71,b72,b73,b74,b75,b76,b77,b78,b79,b80,b81,b82,b83,b84,b85,b86,b87,b88,b89,b90,b91,b92,b93,b94,b95,b96,b97,b98,b99
1636650806.438,1,578,192.69,2157,2183,8.64,848.21,12.57,3.00,306.00,41.24,511.00,1397.00,14.25,12.81,2.87,2.83,320.60,30000,3.0,100,1.75,4.82,0,5,255,512,17,12,20,18,12,17,24,15,23,8,10,13,17,11,15,10,7,14,12,10,15,4,4,11,6,6,4,4,8,4,4,8,3,2,1,6,7,3,4,2,1,4,2,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1636650807.438,1,562,243.96,2158,2188,10.00,848.21,12.57,2.30,307.00,41.19,514.00,1394.00,14.25,12.53,2.87,2.83,320.60,30000,3.0,100,1.75,4.82,0,5,255,512,20,26,22,14,13,17,14,12,26,13,19,14,17,17,14,11,9,13,9,15,12,15,15,9,7,7,1,6,1,3,4,2,7,3,8,3,3,5,2,6,2,4,1,3,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1636650808.438,1,634,167.73,2159,2185,8.85,848.24,12.57,3.78,307.00,41.24,514.00,1396.00,14.25,12.73,2.87,2.83,320.60,30000,3.0,100,1.75,4.82,0,5,255,512,20,22,27,20,20,13,13,18,26,14,13,7,11,17,9,8,9,11,13,11,13,16,9,11,7,8,4,5,5,4,2,5,8,5,5,5,5,4,2,3,3,3,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1636650809.438,1,598,266.08,2159,2185,8.93,848.16,12.56,2.25,307.00,41.19,514.00,1396.00,14.34,12.73,2.87,2.83,320.60,30000,3.0,100,1.75,4.82,0,5,255,512,21,22,24,17,20,13,18,17,20,14,15,17,15,9,17,17,8,7,17,9,8,15,9,8,12,5,4,6,16,4,6,5,1,3,3,2,2,4,2,2,0,2,1,2,1,0,0,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1636650810.438,1,627,196.15,2158,2186,9.10,848.21,12.56,3.20,308.00,41.24,512.00,1395.00,14.34,13.03,2.87,2.83,320.61,30000,3.0,100,1.75,4.82,0,5,255,512,14,20,23,25,17,16,22,22,22,16,10,13,17,8,19,12,10,9,18,5,11,10,10,7,3,2,4,8,8,2,5,5,1,2,3,7,3,4,4,1,0,0,5,0,2,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1636650811.437,1,641,190.08,2158,2187,9.44,848.24,12.56,3.37,307.00,41.19,514.00,1395.00,14.16,13.14,2.87,2.83,320.61,30000,3.0,100,1.75,4.82,0,5,255,512,16,13,15,14,23,15,17,17,24,8,18,7,19,22,15,14,10,15,10,10,16,10,8,5,12,4,5,6,6,3,3,2,5,3,3,2,2,6,1,1,2,0,1,1,0,3,2,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1636650812.437,1,603,280.59,2158,2189,10.13,848.12,12.56,2.15,308.00,41.24,513.00,1395.00,14.25,13.26,2.87,2.83,320.61,30000,3.0,100,1.75,4.82,0,5,255,512,20,22,28,28,14,20,22,20,19,16,11,10,11,11,15,14,7,11,13,9,9,7,9,13,7,5,8,5,5,4,6,2,6,3,1,6,2,4,0,6,6,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1636650813.438,1,613,174.85,2159,2185,8.82,848.02,12.55,3.51,308.00,41.19,513.00,1396.00,14.16,13.22,2.87,2.83,320.61,30000,3.0,100,1.75,4.82,0,5,255,512,23,17,17,25,22,19,25,20,18,11,12,6,18,11,11,10,6,11,15,16,7,7,12,7,5,8,4,9,3,9,7,4,4,2,4,4,3,5,2,3,3,3,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1636650814.438,1,606,193.41,2157,2185,9.48,848.13,12.56,3.13,306.00,41.11,515.00,1394.00,14.25,13.17,2.87,2.83,320.61,30000,3.0,100,1.75,4.82,0,5,255,512,19,24,17,22,21,13,15,7,12,14,20,19,11,15,23,14,8,15,16,16,11,10,17,5,7,7,8,9,3,3,2,3,6,9,5,7,4,1,4,3,5,2,7,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1636650815.439,1,635,189.89,2158,2185,9.10,848.08,12.55,3.34,306.00,41.24,513.00,1390.00,13.70,13.18,2.87,2.83,320.61,30000,3.0,100,1.75,4.82,0,5,255,512,20,16,22,18,21,15,21,15,13,21,24,16,12,22,15,10,8,10,15,13,4,10,12,3,7,10,6,5,4,8,4,11,6,3,3,1,3,7,1,8,4,4,3,3,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1636650816.438,1,607,177.41,2159,2186,9.23,848.32,12.55,3.42,307.00,41.15,515.00,1396.00,13.98,12.90,2.87,2.83,320.61,30000,3.0,100,1.75,4.82,0,5,255,512,14,19,27,24,23,13,17,13,13,11,11,16,12,15,15,12,16,10,15,9,7,9,7,3,10,16,6,9,4,6,6,4,1,4,3,6,2,3,4,5,2,2,1,3,2,0,0,3,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1636650817.438,1,622,254.47,2158,2185,8.94,848.15,12.54,2.44,307.00,41.19,513.00,1394.00,14.34,12.84,2.87,2.83,320.61,30000,3.0,100,1.75,4.82,0,5,255,512,14,21,29,28,19,18,13,11,22,15,24,14,16,17,17,14,10,16,14,6,8,4,12,8,10,5,7,7,5,3,7,5,8,2,4,4,8,2,4,3,2,4,2,1,0,0,1,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
